cc_num,provider,expires
4596820450091130,visa,12/22
4958093175235604,visa,10/26
4015932470611509,visa,03/27
4159622401904976,visa,06/26
4477815199890788,visa,08/24
4518343950434861,visa,11/26
4354056835192630,visa,10/26
4814447237003448,visa,06/22
4010581045529541,visa,10/26
4477366725162433,visa,10/22
4944183912096646,visa,12/22
4825923041004100,visa,09/22
4581544194604928,visa,11/22
4986669950826760,visa,06/22
4072516220903348,visa,12/25
4746574482770588,visa,06/22
4889001640640922,visa,05/23
4060361665586025,visa,04/24
4633040140320329,visa,04/23
4167149473198667,visa,04/25
4070955465759365,visa,04/27
4166420904624170,visa,04/26
4229988805952531,visa,09/25
4838018720807033,visa,10/25
4557546673994902,visa,01/27
4916476404327170,visa,01/25
4027085330355977,visa,01/22
4656467416917797,visa,05/25
4282066712977380,visa,06/22
4683539643034641,visa,09/22
4920746071888942,visa,03/22
4538970447505881,visa,02/25
4044149520758363,visa,11/25
4956471536597403,visa,11/26
4971295131007000,visa,03/22
4474762689046609,visa,02/25
4990402608037315,visa,10/26
4109416583927900,visa,05/23
4018259510146271,visa,12/26
4152074228454891,visa,01/25
4964834484564644,visa,01/25
4548082515193901,visa,05/23
4664548831142671,visa,07/23
4056000580487713,visa,11/22
4823290100888258,visa,12/24
4280688111906264,visa,07/24
4256645407268627,visa,04/25
4340735669761381,visa,10/25
4883806594247243,visa,02/26
4193014523214906,visa,08/22
4551151662280250,visa,09/22
4631278383035772,visa,12/23
4929040946855786,visa,07/26
4337487964411206,visa,07/24
4163123196855675,visa,02/24
4149919657740556,visa,03/23
4896980081324735,visa,04/26
4198410364253422,visa,02/23
4522514704193904,visa,01/27
4226071604728387,visa,10/24
4171230858092016,visa,08/24
4198289118271900,visa,10/22
4766953643315894,visa,08/23
4918033532626920,visa,01/25
4437719279871164,visa,03/25
4277322646120192,visa,07/22
4434061688613280,visa,11/24
4782625151053501,visa,10/24
4886660947655983,visa,06/26
4052675965121088,visa,07/25
4972349737471042,visa,01/24
4546370209983113,visa,12/23
4630861160226887,visa,11/26
4014593403474976,visa,08/23
4191277902275713,visa,06/26
4935858256653703,visa,03/26
4373186013721269,visa,11/24
4738877982476642,visa,03/27
4236488016045432,visa,04/27
4313505333727362,visa,07/26
4302558564241853,visa,09/22
4757110238314037,visa,02/27
4171588685794769,visa,08/24
4803968796993086,visa,03/23
4502143962106723,visa,01/26
4002330522123596,visa,11/22
4064868773886861,visa,03/25
4073886918689387,visa,05/23
4234949468438831,visa,02/24
4645995009385547,visa,10/26
4896635955418431,visa,02/23
4531167815442238,visa,02/23
4889534485312579,visa,08/23
4647823648081673,visa,05/27
4459273780148699,visa,11/25
4831276264575419,visa,09/24
4461219122071947,visa,08/26
4245050248806178,visa,09/23
4581222106011785,visa,03/22
4656157053167406,visa,08/24
4515394373247953,visa,07/26
4298368651173993,visa,01/27
4240192502861542,visa,12/22
4317369982403577,visa,03/26
4604414628872850,visa,03/24
4299555011178428,visa,11/24
4640807602263226,visa,08/25
4508600292416191,visa,11/23
4056556887456123,visa,02/26
4172036579165141,visa,01/24
4115089887394903,visa,01/24
4991539658091830,visa,10/24
4219785543443381,visa,01/24
4297660285997164,visa,03/25
4287279140563913,visa,09/26
4213957729519328,visa,08/25
4750024758657518,visa,10/25
4691025370450218,visa,05/27
4635552426140120,visa,08/26
4863997363336830,visa,02/25
4308142387522957,visa,01/24
4658749612470095,visa,05/26
4880964675937845,visa,01/23
4764722168656608,visa,07/24
4638403816249807,visa,12/22
4632445213578912,visa,07/25
4109882842087838,visa,09/22
4899552694880978,visa,07/25
4689840185625851,visa,09/26
4893710345621094,visa,09/25
4909140865279457,visa,05/22
4266739199122015,visa,02/23
4012246815016677,visa,06/25
4072528909845294,visa,03/25
4989258607013779,visa,06/23
4498492537404469,visa,08/25
4280987120880415,visa,05/27
4203749520569079,visa,04/24
4163729882889941,visa,12/26
4408839571736215,visa,02/23
4813821109514487,visa,06/24
4056675875824231,visa,08/22
4959839009754007,visa,08/23
4505415537884993,visa,12/25
4987373834869190,visa,02/23
4786780869992411,visa,01/26
4183043516152817,visa,05/22
4660663097007387,visa,04/24
4767050658905773,visa,02/27
4010108729508474,visa,01/22
4172723384516333,visa,07/22
4322428180207298,visa,11/26
4196154070037727,visa,03/22
4896163141176755,visa,02/25
4198815873566702,visa,08/26
4245345619450634,visa,08/23
4186068852176960,visa,04/25
4056619210608263,visa,11/24
4170590012057630,visa,09/23
4237307259747364,visa,11/23
4257199041132061,visa,10/26
4122825895636160,visa,06/25
4166466692970028,visa,05/22
4084075340653842,visa,12/26
4426084054494895,visa,02/23
4343568566831578,visa,04/23
4692356021022448,visa,03/23
4781288926082189,visa,05/25
4999613767442424,visa,10/26
4756943458959698,visa,03/25
4219508708530408,visa,05/27
4992025496911933,visa,09/23
4101866351324490,visa,03/27
4230400588593927,visa,05/26
4567590927967015,visa,05/24
4638658919738846,visa,10/26
4185303632466196,visa,11/26
4275916190001146,visa,09/24
4534436892001754,visa,12/26
4161281203583920,visa,07/26
4691348550118409,visa,04/27
4163073999371570,visa,10/25
4056484061281995,visa,03/27
4510061471162757,visa,12/25
4933018679362109,visa,05/26
4747099972454625,visa,05/24
4252295282415010,visa,01/23
4674922828771248,visa,04/24
4341623297101635,visa,10/24
4238945275458430,visa,02/24
4275842360553635,visa,05/26
4248392824296037,visa,11/24
4739552646140558,visa,05/25
4426802593908848,visa,02/26
4194560653094566,visa,01/23
4138806949662610,visa,06/26
4097233583284750,visa,01/23
4566810570302596,visa,10/24
4249715581406507,visa,10/22
4596843570911953,visa,08/24
4266080866606810,visa,09/22
4991306145150300,visa,11/23
4626645442504542,visa,04/26
4495193533954555,visa,12/25
4376783432104676,visa,07/22
4930226318785993,visa,02/25
4264513191145288,visa,12/26
4139514276042237,visa,08/26
4236487917550508,visa,05/23
4868609058049553,visa,03/22
4924738235002623,visa,10/22
4390726843075243,visa,11/23
4747037713157206,visa,07/23
4697434187093357,visa,08/22
4907844201220057,visa,05/23
4449081132647075,visa,03/22
4632502830796903,visa,04/23
4036637864420939,visa,08/23
4920813497351531,visa,11/26
4456686627068379,visa,03/24
4904592348725883,visa,07/25
4612665487789796,visa,07/24
4267422077883458,visa,05/22
4157956106228154,visa,04/23
4913092500025965,visa,02/25
4598598894586984,visa,08/24
4692726817637825,visa,09/22
4913172726058477,visa,12/25
4413285173296500,visa,06/24
4568943564049671,visa,08/24
4879425407155687,visa,01/23
4825006418873289,visa,12/26
4189501841145719,visa,09/26
4812158349077616,visa,03/25
4874659009875749,visa,04/25
4072709172998644,visa,11/23
4659135117796318,visa,07/23
4397026282229002,visa,03/24
4241943798548238,visa,03/24
4509694004433239,visa,05/22
4082692264119238,visa,01/22
4695213680755395,visa,11/23
4666207982813188,visa,04/24
4375728960616311,visa,11/26
4863447464793190,visa,01/24
4923090406392370,visa,05/24
4317865330419298,visa,05/22
4643109336258219,visa,06/25
4108639985713815,visa,01/26
4638031190878618,visa,05/25
4595301961693970,visa,11/24
4417506315673108,visa,09/23
4156977301337039,visa,04/27
4074775595338708,visa,06/26
4591598054133046,visa,12/25
4772610482008616,visa,01/25
4902992123696196,visa,09/24
4780705085153569,visa,09/24
4561713862171023,visa,06/25
4970938114028938,visa,05/22
4935977392060738,visa,11/25
4257098806973638,visa,06/23
4853528295952022,visa,05/26
4459474291200900,visa,02/26
4286601238871190,visa,05/23
4837978576778318,visa,06/25
4863630464727116,visa,11/26
4180992209465550,visa,08/23
4160806832774853,visa,12/26
4878661201604964,visa,04/23
4782249437830945,visa,11/23
4141472162335056,visa,07/24
4047118215458503,visa,06/25
4097059622606582,visa,07/23
4123638178254919,visa,02/27
4921618582506074,visa,08/24
4990986745905707,visa,03/24
4893428073388709,visa,09/23
4731696337824901,visa,08/26
4990752634355457,visa,06/22
4648397038554036,visa,02/27
4071669754867768,visa,03/25
4075741069151026,visa,05/27
4174313205374761,visa,08/26
4512621755797459,visa,04/25
4916743147529861,visa,02/27
4896446498307226,visa,05/26
4643606654241099,visa,11/26
4110989699081991,visa,01/23
4538108636789558,visa,10/24
4586457653224192,visa,11/23
4179527073011248,visa,03/27
4837052476421484,visa,04/22
4143067348546077,visa,09/23
4720478535470719,visa,11/26
4494402666200582,visa,07/23
4303168132977621,visa,06/25
4182190520674491,visa,10/25
4354590291106742,visa,01/25
4817626088411704,visa,10/24
4147357156636532,visa,06/23
4815181796558737,visa,10/22
4845721781989035,visa,07/25
4417378500100705,visa,06/26
4502441401082657,visa,11/24
4654562903413052,visa,04/27
4605676827961325,visa,12/26
4596835510263123,visa,01/24
4771406832695777,visa,03/24
4356533734077706,visa,05/27
4630006526396129,visa,08/25
4607192308027618,visa,10/26
4511085840168566,visa,02/24
4024978623984391,visa,06/22
4867463863433581,visa,09/22
4563117836142029,visa,04/24
4076822316566825,visa,11/25
4845712403251888,visa,10/26
4183522037398355,visa,12/23
4512839655070641,visa,11/23
4947668721937359,visa,09/23
4882675001257710,visa,10/25
4402207800027127,visa,09/23
4646283907599272,visa,05/22
4187802570609327,visa,11/23
4905600680366494,visa,06/25
4251176779363353,visa,06/25
4503665138172253,visa,03/23
4043239720546295,visa,11/23
4211111162683181,visa,11/23
4217251616450532,visa,06/26
4134800299253298,visa,05/26
4052920679179539,visa,02/24
4556091977534121,visa,11/25
4946621282512781,visa,03/22
4769975026216172,visa,12/22
4944940215274992,visa,01/22
4917687451555971,visa,09/22
4567141089547086,visa,11/26
4639142687351586,visa,06/25
4047253075559635,visa,10/22
4956424658905334,visa,07/26
4031729349852409,visa,07/22
4378927447442682,visa,03/26
4236652509954463,visa,03/27
4292523412341083,visa,01/27
4133095086334549,visa,06/24
4214331812017609,visa,03/25
4841043406691555,visa,09/23
4091869317089001,visa,05/25
4622803951057873,visa,09/24
4572105480525499,visa,04/24
4285231456799450,visa,02/27
4059935491589734,visa,02/24
4291303864962467,visa,07/26
4658649365031856,visa,03/24
4579232106351051,visa,01/27
4362323776298408,visa,08/23
4657100804026637,visa,01/23
4954398793852092,visa,09/26
4931721293525314,visa,03/25
4454033058193891,visa,01/26
4079807396198703,visa,07/25
4962757374038209,visa,04/24
4344556050668050,visa,01/27
4297017751265305,visa,05/22
4715374691239641,visa,12/22
4948769133322195,visa,12/23
4562502205779041,visa,10/25
4403302807592964,visa,07/25
4880533759481978,visa,01/26
4968734248761310,visa,05/26
4532537822226940,visa,05/25
4795177792394964,visa,10/22
4164428832162439,visa,03/27
4600476563394822,visa,08/22
4990077763535350,visa,09/25
4628478412490452,visa,01/26
4999763787658689,visa,08/24
4047035201019364,visa,10/23
4507951807712496,visa,11/26
4558437446319586,visa,09/26
4604722259153832,visa,04/27
4817642951754088,visa,02/26
4515188652242507,visa,06/23
4956375396028856,visa,06/22
4956053970567298,visa,09/26
4172309277595012,visa,08/23
4873162508562232,visa,03/26
4815333028167429,visa,08/22
4734534259756925,visa,12/23
4652270548978073,visa,08/22
4674821025800943,visa,09/24
4297941636273590,visa,10/22
4665936921329689,visa,04/25
4316943474664747,visa,08/26
4862486694523044,visa,06/26
4918196756581566,visa,12/23
4239275829775017,visa,02/22
4788637540114955,visa,12/23
4006950550652806,visa,05/23
4568906894749799,visa,12/25
4503184791500677,visa,11/24
4773850170339936,visa,07/25
4549352716260950,visa,04/26
4324257025338341,visa,12/22
4772039455460119,visa,03/26
4199186927335810,visa,05/24
4978837587432787,visa,11/26
4295947736465426,visa,06/26
4681244854065424,visa,03/26
4618003302050802,visa,07/26
4217794863222880,visa,12/22
4224744924923548,visa,05/27
4953763368097624,visa,01/27
4860599601748991,visa,01/25
4991299196397278,visa,06/23
4590233626435213,visa,11/26
4184971052918747,visa,04/23
4399823487975712,visa,01/25
4130716471597621,visa,09/24
4387575280613031,visa,07/26
4755562103765028,visa,02/27
4972683080463630,visa,05/24
4738298435584223,visa,02/23
4767343546288753,visa,06/24
4247897491569178,visa,12/24
4032813749457248,visa,02/24
4071812435517044,visa,01/25
4422695741483506,visa,04/25
4370271998669296,visa,11/26
4782192361332696,visa,01/25
4230271043907709,visa,07/23
4297184904483365,visa,01/23
4474116889949601,visa,03/25
4606378660137811,visa,07/23
4539791285610032,visa,11/23
4794574444824557,visa,11/25
4512666926191421,visa,02/23
4426561451915374,visa,06/24
4072073662689936,visa,02/24
4417649408886292,visa,01/27
4635425922595461,visa,07/22
4661166931354394,visa,05/22
4107649371756386,visa,02/26
4634752572749788,visa,08/26
4840529625516699,visa,06/22
4386944936599245,visa,05/22
4035669040161880,visa,06/23
4044006711602950,visa,09/24
4360435581542333,visa,08/25
4848825254632894,visa,09/25
4892578577996117,visa,12/23
4329449675914290,visa,07/26
4457083635148238,visa,12/25
4773384968416151,visa,03/26
4735581663664541,visa,12/25
4318506909423282,visa,01/26
4191659883634853,visa,07/25
4866928938600308,visa,12/24
4007861265681411,visa,03/23
4848585335514525,visa,01/25
4407135164641917,visa,07/23
4808651494928332,visa,05/22
4405187723843510,visa,07/26
4559912188460367,visa,04/23
4773425289040806,visa,11/24
4648341054184120,visa,11/24
4343273546026304,visa,02/26
4299093116672442,visa,04/26
4707593137525483,visa,08/24
4121849807923244,visa,04/26
4233716234629147,visa,10/24
4587129055118889,visa,01/23
4965352779063643,visa,02/27
4411866114032864,visa,11/25
4664906329484064,visa,06/22
4846696659967108,visa,01/27
4184793705574762,visa,09/22
4261111549394857,visa,02/26
4496552549494154,visa,03/27
4936368304338116,visa,04/25
4043005422002519,visa,02/24
4156411722023424,visa,02/25
4423174551444890,visa,11/23
4904488978300040,visa,07/26
4987192691059137,visa,02/22
4183886808298593,visa,03/25
4222689788431660,visa,06/25
4857096614618845,visa,01/23
4017000212539699,visa,03/24
4678255098755179,visa,06/23
4577712371266045,visa,03/24
4895940069843701,visa,08/26
4858023910974333,visa,12/25
4200649824860278,visa,01/25
4835817593104052,visa,06/23
4984384623009925,visa,06/23
4738929969421958,visa,08/25
4007002972530324,visa,02/23
4946100116542868,visa,06/23
4279480463861930,visa,02/27
4873456208052167,visa,02/25
4653795639795555,visa,12/26
4190505699787263,visa,01/27
4177185235377783,visa,08/26
4906744736258815,visa,04/22
4635434271903334,visa,10/24
4400483059113114,visa,07/25
4695004437240223,visa,06/25
4036815845407205,visa,01/27
4532767622807066,visa,02/27
4383754396172026,visa,12/23
4662745322448300,visa,08/26
4612958051973460,visa,05/24
4979889973041895,visa,11/26
4136344429530059,visa,02/25
4496121022855727,visa,06/26
4443345171481233,visa,05/27
4697111123445202,visa,11/23
4077012147709559,visa,06/23
4056519913904581,visa,03/26
4383422408907553,visa,02/27
4549545145602409,visa,08/24
4132450234862753,visa,01/24
4486477105236926,visa,07/23
4076984025466521,visa,05/24
4171019180661451,visa,09/23
4733531438418253,visa,01/23
4016920934553846,visa,04/27
4322617096913250,visa,08/24
4206450696041558,visa,07/25
4638254804033533,visa,02/24
4928737432664066,visa,11/22
4096056259588241,visa,06/22
4414597788655709,visa,04/27
4150510463336626,visa,07/23
4637647896048205,visa,06/23
4500200045207902,visa,01/26
4634413521230475,visa,05/25
4247952694425510,visa,09/22
4432169732199610,visa,04/23
4064363292702922,visa,09/26
4888740586088502,visa,10/26
4134968828490408,visa,08/23
4541294123136241,visa,06/24
4712594264204465,visa,10/25
4848693028002491,visa,09/26
4642829196814378,visa,03/26
4539410871660828,visa,09/22
4228349519544885,visa,09/26
4906018559038046,visa,07/25
4047826081421104,visa,04/23
4587493681716155,visa,03/22
4428482819884574,visa,04/25
4685966460215706,visa,03/23
4132067968690349,visa,06/25
4143052583543666,visa,03/24
4918977460928395,visa,05/23
4655732643934167,visa,10/24
4926057769846455,visa,06/26
4016608575557297,visa,06/23
4001468975474818,visa,06/26
4360610882473806,visa,09/23
4589351861743670,visa,03/26
4504507687081189,visa,02/22
4692191982001226,visa,11/25
4186482879569547,visa,06/23
4163896816366427,visa,03/26
4048159828095075,visa,09/25
4031430313329876,visa,11/25
4851986555305780,visa,07/22
4576086433621948,visa,10/26
4327090937866720,visa,01/25
4634130849674370,visa,06/23
4948886259268208,visa,06/22
4253298039887514,visa,05/26
4049623864921956,visa,07/22
4022717899863521,visa,06/26
4547476694884002,visa,01/23
4191451879208383,visa,03/27
4054820374909255,visa,10/24
4270025959810229,visa,06/23
4692515317976332,visa,12/22
4865448437011833,visa,06/24
4038150065544828,visa,01/26
4391874500031544,visa,03/24
4467508211190640,visa,03/27
4509566354172676,visa,05/23
4128818208635148,visa,01/24
4124356302180566,visa,02/27
4549585131105124,visa,09/24
4205814493906795,visa,10/25
4277974303984862,visa,12/22
4917436684884075,visa,12/24
4966010665361633,visa,07/24
4552043286218338,visa,07/24
4548921669465245,visa,07/26
4207936568663577,visa,06/23
4481839332197996,visa,12/26
4866209098707591,visa,07/23
4716669374342581,visa,02/27
4962570906152020,visa,11/25
4125047564794470,visa,12/23
4054032754535458,visa,08/22
4552174898485088,visa,06/23
4138936143407916,visa,02/26
4284354782948715,visa,02/24
4555445880490840,visa,02/22
4340073959021047,visa,07/23
4035245967638281,visa,06/24
4781237094338832,visa,01/25
4237998552414569,visa,07/24
4671055201608480,visa,10/24
4920355418495856,visa,11/25
4496522561090032,visa,05/24
4749857112876553,visa,11/26
4281621860681316,visa,05/22
4840366967984841,visa,01/26
4475675489031184,visa,04/23
4366321576387583,visa,07/23
4668251232497606,visa,11/22
4734716504534088,visa,07/22
4011619599810161,visa,09/22
4292062826166968,visa,01/23
4494811172269347,visa,07/25
4737341284434784,visa,02/22
4404042547074597,visa,11/25
4241695613409802,visa,08/22
4851051011319568,visa,02/22
4024749996546525,visa,06/24
4767546054909756,visa,09/22
4800626934861234,visa,06/25
4372042776374666,visa,06/24
4875828418562789,visa,05/22
4663589411345558,visa,02/24
4799040518482321,visa,10/24
4529664526565871,visa,07/23
4717688633138514,visa,02/24
4507171187988430,visa,03/27
4322863042645238,visa,03/25
4011382095241155,visa,09/22
4279058855424853,visa,06/24
4858273052735469,visa,05/24
4050035166401890,visa,06/26
4193899765132133,visa,07/26
4593595867961777,visa,05/22
4444959007610374,visa,12/25
4140589456206544,visa,03/22
4315213125906322,visa,05/22
4421833463642311,visa,04/24
4088284352412552,visa,12/23
4136313992599973,visa,03/23
4059852277897159,visa,12/25
4167653876012714,visa,04/26
4610739772483860,visa,08/22
4803024348181323,visa,05/24
4487888463568628,visa,09/22
4930926889654169,visa,05/24
4629435047384889,visa,02/22
4119240200219303,visa,01/23
4025519506897331,visa,04/24
4732919137375380,visa,12/23
4166951976633285,visa,03/23
4267694015107907,visa,12/24
4543919718856062,visa,05/24
4147187677980626,visa,11/22
4897277640695450,visa,04/22
4681432555565053,visa,09/24
4876334456804364,visa,08/23
4781817742017217,visa,06/24
4304682355563370,visa,10/25
4434403470527114,visa,11/24
4404028120484279,visa,01/26
4913642076996526,visa,04/22
4511044134676867,visa,03/22
4268909010389568,visa,12/26
4443532895216611,visa,01/23
4941684767334928,visa,05/25
4182881886122436,visa,01/26
4424789605603669,visa,04/25
4428932445126444,visa,08/24
4645450818151078,visa,07/22
4234953121825392,visa,10/23
4525729837118514,visa,11/25
4937807319937890,visa,10/26
4178832098155983,visa,11/24
4281803905703244,visa,04/23
4200266960228820,visa,05/22
4140597534738115,visa,12/24
4445663532866472,visa,01/27
4855787436134696,visa,07/24
4139007422250861,visa,09/26
4510501167899998,visa,01/26
4879367765609782,visa,03/25
4258238505394954,visa,05/22
4559806964490889,visa,02/24
4030981168158720,visa,05/27
4335595899888645,visa,02/22
4427392376037253,visa,07/24
4943652890247323,visa,09/23
4561684579720859,visa,05/24
4068592061635980,visa,06/26
4680618805087044,visa,05/26
4781328480945676,visa,03/27
4843972051617721,visa,04/22
4061182517303370,visa,06/25
4671657244487614,visa,10/24
4563888033325209,visa,05/23
4616373122851149,visa,05/23
4923148453269709,visa,11/24
4127904964017258,visa,12/23
4949187185974111,visa,02/23
4973117196955048,visa,10/25
4054203902042800,visa,01/22
4519418301658720,visa,10/25
4302058968577382,visa,04/26
4450367137716478,visa,07/23
4746077814697768,visa,03/22
4113696615045573,visa,05/25
4431116543370246,visa,01/23
4538812751641854,visa,07/22
4610104379648920,visa,07/23
4491434239528572,visa,08/26
4711292767394203,visa,10/23
4562180039969078,visa,12/24
4136443506752568,visa,06/23
4269879056999233,visa,09/25
4856625003790848,visa,05/23
4838402057014340,visa,12/26
4175301378967155,visa,10/24
4320497303626280,visa,10/22
4642592325153361,visa,01/26
4183654891990280,visa,10/25
4095521978394396,visa,11/25
4748980706523240,visa,11/25
4012898870009680,visa,01/26
4841984521776922,visa,04/22
4861339101978619,visa,07/23
4646045268287106,visa,01/26
4629267759147521,visa,12/25
4097670579825544,visa,03/26
4908302232632583,visa,10/23
4339870997094115,visa,07/22
4866786033129627,visa,05/26
4299120735926683,visa,03/22
4725035448589558,visa,05/25
4608919481722105,visa,09/26
4961980119797498,visa,01/26
4492964858437522,visa,01/26
4865285600354081,visa,07/22
4432929257365429,visa,07/24
4424538045419354,visa,03/26
4011050015488772,visa,08/22
4652411737842759,visa,04/26
4745457568643005,visa,09/24
4500872239230930,visa,07/22
4352818567742185,visa,10/25
4909440996173839,visa,11/26
4172793228198473,visa,01/27
4744684937388746,visa,06/25
4210504619231607,visa,03/26
4306073709127377,visa,04/27
4218990818921084,visa,04/23
4737183409768328,visa,11/22
4159081820274703,visa,05/23
4209190664363066,visa,10/25
4628791265212223,visa,09/24
4067201649346638,visa,01/26
4225709005373938,visa,02/27
4218213155118291,visa,07/26
4453444271799938,visa,02/26
4735702293615949,visa,09/24
4269112968876129,visa,03/27
4856223400150699,visa,08/22
4336035994660069,visa,10/26
4506785011061246,visa,09/25
4962612336129317,visa,10/22
4314777315016028,visa,01/26
4828127315186067,visa,08/22
4957578375201282,visa,07/25
4510768577806042,visa,09/22
4503499148257437,visa,03/27
4011544574280422,visa,11/24
4417407460188762,visa,03/25
4138666641555672,visa,02/25
4853961335971589,visa,09/23
4736318333264199,visa,07/25
4016021493299655,visa,10/23
4423032684752482,visa,07/23
4263849691072973,visa,02/25
4580262985653134,visa,11/22
4830216763276847,visa,04/24
4895375762643548,visa,09/26
4926875114230608,visa,10/26
4085005950229731,visa,11/26
4953300964365699,visa,02/25
4808894210886562,visa,04/25
4706038202507116,visa,01/24
4577437876986687,visa,03/24
4355911085916527,visa,05/22
4746939429506637,visa,10/23
4588380985224268,visa,11/26
4570139020102669,visa,12/24
4265592758407850,visa,02/27
4046046396803273,visa,07/22
4759571980579028,visa,01/27
4578486495692985,visa,03/27
4690490079151957,visa,06/25
4866167907247904,visa,12/24
4142379459074950,visa,04/23
4820562401698567,visa,05/24
4984556224485444,visa,04/26
4252647146863787,visa,08/24
4199832054495758,visa,08/25
4775899159272251,visa,01/25
4577707126906093,visa,07/25
4699321265907749,visa,06/26
4785101858206963,visa,05/23
